Date,Open,High,Low,Close,Adj Close,Volume
27-06-2022,2378.700,2385.00,2320.01,2332.45,2332.45,1642000.00
28-06-2022,2327.020,2357.13,2248.88,2251.43,2251.43,1411600.00
29-06-2022,2242.970,2273.29,2231.08,2245.13,2245.13,931400.00
30-06-2022,2209.990,2226.60,2146.20,2187.45,2187.45,1902300.00
01-07-2022,2166.740,2196.13,2142.10,2181.62,2181.62,1550600.00
05-07-2022,2150.290,2281.05,2124.99,2277.74,2277.74,1819900.00
06-07-2022,2281.840,2327.04,2245.01,2304.27,2304.27,1442600.00
07-07-2022,2320.160,2397.24,2310.68,2386.12,2386.12,1609200.00
08-07-2022,2351.000,2408.70,2350.28,2403.37,2403.37,1453200.00
11-07-2022,2373.000,2375.89,2324.69,2330.45,2330.45,1335900.00
12-07-2022,2336.770,2356.99,2292.30,2296.99,2296.99,1248500.00
13-07-2022,2252.780,2303.14,2236.46,2243.74,2243.74,1943400.00
